title,author,ranking,access,characount,pid,tid,minutes,hour
こころ,夏目 漱石　,1,52808,182592,000148,773,456.48,7.608
人間失格,太宰 治　,2,40922,75039,000035,301,187.5975,3.126625
吾輩は猫である,夏目 漱石　,3,39525,365783,000148,789,914.4575,15.24095833
銀河鉄道の夜,宮沢 賢治　,4,28710,41601,000081,456,104.0025,1.733375
羅生門,芥川 竜之介　,5,27296,6367,000879,127,15.9175,0.265291667
坊っちゃん,夏目 漱石　,6,27148,103434,000148,752,258.585,4.30975
ドグラ・マグラ,夢野 久作　,7,25719,459095,000096,2093,1147.7375,19.12895833
怪人二十面相,江戸川 乱歩　,8,20629,111821,001779,57228,279.5525,4.659208333
蜘蛛の糸,芥川 竜之介　,9,18852,3189,000879,92,7.9725,0.132875
斜陽,太宰 治　,10,17644,93910,000035,1565,234.775,3.912916667
人間椅子,江戸川 乱歩　,11,17436,16099,001779,56648,40.2475,0.670791667
走れメロス,太宰 治　,12,17428,10265,000035,1567,25.6625,0.427708333
夢十夜,夏目 漱石　,13,17111,19386,000148,799,48.465,0.80775
檸檬,梶井 基次郎　,14,16809,5425,000074,424,13.5625,0.226041667
蟹工船,小林 多喜二　,15,16124,65488,000156,1465,163.72,2.728666667
三四郎,夏目 漱石　,16,15295,178798,000148,794,446.995,7.449916667
草枕,夏目 漱石　,17,14862,104957,000148,776,262.3925,4.373208333
Ｄ坂の殺人事件,江戸川 乱歩　,18,14560,22788,001779,56650,56.97,0.9495
変身,カフカ フランツ　,19,14031,56575,001235,49866,141.4375,2.357291667
〔雨ニモマケズ〕,宮沢 賢治　,20,13690,353,000081,45630,0.8825,0.014708333
山月記,中島 敦　,21,13479,6955,000119,624,17.3875,0.289791667
銀河鉄道の夜,宮沢 賢治　,22,13366,53834,000081,43737,134.585,2.243083333
三国志01 序,吉川 英治　,23,13048,1702,001562,52409,4.255,0.070916667
三国志02 桃園の巻,吉川 英治　,24,12852,169310,001562,52410,423.275,7.054583333
源氏物語01 桐壺,紫式部 　,25,12844,17041,000052,5016,42.6025,0.710041667
遠野物語,柳田 国男　,26,12759,45955,001566,52504,114.8875,1.914791667
舞姫,森 鴎外　,27,12477,18261,000129,2078,45.6525,0.760875
学問のすすめ,福沢 諭吉　,28,12446,92165,000296,47061,230.4125,3.840208333
