pid,author,tid,title,kana,trans,kousakun,kousakuk,status,statusdate,original,publisher,editionn,editionk,ranking,access,characount,minutes
1562,吉川 英治,56144,源頼朝,新字新仮名,,門田裕志,トレンドイースト,公開,2016/10/6,源頼朝（一）,吉川英治歴史時代文庫、講談社,2012（平成24）年3月5日第20刷,2012（平成24）年3月5日第20刷,500,1930,339027,847.5675
1779,江戸川 乱歩,56679,魔法博士,新字新仮名,,sogo,茅宮君子,公開,2017/9/15,灰色の巨人／魔法博士,江戸川乱歩推理文庫、講談社,1988（昭和63）年3月8日第1刷,1988（昭和63）年3月8日第1刷,499,1930,77869,194.6725
1779,江戸川 乱歩,57230,ふしぎな人,新字新仮名,,sogo,北川松生,公開,2016/7/16,江戸川乱歩全集　第21巻　ふしぎな人,光文社文庫、光文社,2005（平成17）年3月20日初版1刷,2005（平成17）年3月20日初版1刷,498,1932,44297,110.7425
718,新渡戸 稲造,50530,武士道の山,新字新仮名,,田中哲郎,ゆうき,公開,2010/4/27,新渡戸稲造論集,岩波文庫、岩波書店,2007（平成19）年5月16日第1刷,2007（平成19）年6月25日第2刷,497,1939,1698,4.245
879,芥川 竜之介,18,闇中問答,新字旧仮名,,j.utiyama,野口英司,公開,1998/3/24,現代日本文學大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日初版第1刷,,496,1948,6261,15.6525
879,芥川 竜之介,29,カルメン,新字新仮名,,j.utiyama,田尻幹二,公開,1999/1/27,芥川龍之介全集6,ちくま文庫、筑摩書房,1993（平成5）年2月25日第6刷,1997（平成9）年4月15日第8刷,495,1950,2210,5.525
269,高神 覚昇,1543,般若心経講義,新字新仮名,,多田克也,大野晋、Juki,公開,2006/10/11,般若心経講義,角川文庫、角川書店,1967（昭和42）年5月30日改41版、1973（昭和48）年3月30日改版12版,1979（昭和54）年7月30日改版22版,494,1951,115907,289.7675
35,太宰 治,234,二十世紀旗手,新字新仮名,,柴田卓治,小林繁雄,公開,1999/8/7,太宰治全集2,ちくま文庫、筑摩書房,,,493,1952,14768,36.92
1562,吉川 英治,52405,鳴門秘帖 03 木曾の巻,新字新仮名,,門田裕志,トレンドイースト,公開,2013/4/12,鳴門秘帖（二）,吉川英治歴史時代文庫3、講談社,2008（平成20）年12月24日第22刷,2011（平成23）年4月1日第23刷,492,1952,64286,160.715
67,萩原 朔太郎,641,猫町 散文詩風な小説,新字新仮名,,ryoko masuda,浜野智,公開,1999/1/12,猫町　他十七篇,岩波文庫、岩波書店,1995（平成7）年5月16日第4刷,,491,1955,11227,28.0675
83,菊池 寛,502,父帰る,新字新仮名,,真先芳秋,野口英司,公開,1999/1/1,菊池寛　短篇と戯曲,文芸春秋,1988（昭和63）年3月25日第1刷,1988（昭和63）年3月25日第1刷,490,1958,7899,19.7475
10,大久保 ゆう,226,ボヘミアの醜聞,新字新仮名,大久保 ゆう,大久保ゆう,,公開,1998/12/28,,,,,489,1959,18580,46.45
9,ドイル アーサー・コナン,226,ボヘミアの醜聞,新字新仮名,大久保 ゆう,大久保ゆう,,公開,1998/12/28,,,,,489,1959,18580,46.45
879,芥川 竜之介,95,魔術,新字新仮名,,j.utiyama,かとうかおり,公開,1998/12/8,芥川龍之介全集3,ちくま文庫、筑摩書房,1996（平成8）年4月1日第8刷,1997（平成9）年4月15日第9刷,488,1960,8047,20.1175
35,太宰 治,54878,春夫と旅行できなかつた話,旧字旧仮名,,夏生ぐみ,焼野,公開,2018/6/19,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,1999（平成11）年3月25日初版第1刷,487,1963,436,1.09
1562,吉川 英治,52406,鳴門秘帖 04 船路の巻,新字新仮名,,門田裕志,トレンドイースト,公開,2013/4/15,鳴門秘帖（三）,吉川英治歴史時代文庫4、講談社,2009（平成21）年2月2日第21刷,2011（平成23）年6月1日第22刷,486,1964,152026,380.065
1128,文部省 ,43037,あたらしい憲法のはなし,旧字新仮名,,林幸雄,松永正敏,公開,2004/8/2,あたらしい憲法のはなし,日本平和委員会,2004年1月27日第38版,,485,1967,20905,52.2625
329,楠山 正雄,42314,ブレーメンの町楽隊,新字新仮名,楠山 正雄,大久保ゆう,浅原庸子,公開,2004/7/13,世界おとぎ文庫（グリム篇）森の小人,小峰書店,1949（昭和24）年12月30日4版, ,484,1969,4443,11.1075
1092,グリム ヴィルヘルム・カール,42314,ブレーメンの町楽隊,新字新仮名,楠山 正雄,大久保ゆう,浅原庸子,公開,2004/7/13,世界おとぎ文庫（グリム篇）森の小人,小峰書店,1949（昭和24）年12月30日4版, ,484,1969,4443,11.1075
