tid,title,pid,author,ranking,access,characount,cardurl
773,こころ,148,夏目漱石,1,52808,182592,https://www.aozora.gr.jp/cards/000148/card773.html
301,人間失格,35,太宰治,2,40922,75039,https://www.aozora.gr.jp/cards/000035/card301.html
789,吾輩は猫である,148,夏目漱石,3,39525,365783,https://www.aozora.gr.jp/cards/000148/card789.html
456,銀河鉄道の夜,81,宮沢賢治,4,28710,41601,https://www.aozora.gr.jp/cards/000081/card456.html
127,羅生門,879,芥川竜之介,5,27296,6367,https://www.aozora.gr.jp/cards/000879/card127.html
752,坊っちゃん,148,夏目漱石,6,27148,103434,https://www.aozora.gr.jp/cards/000148/card752.html
2093,ドグラ・マグラ,96,夢野久作,7,25719,459095,https://www.aozora.gr.jp/cards/000096/card2093.html
57228,怪人二十面相,1779,江戸川乱歩,8,20629,111821,https://www.aozora.gr.jp/cards/001779/card57228.html
92,蜘蛛の糸,879,芥川竜之介,9,18852,3189,https://www.aozora.gr.jp/cards/000879/card92.html
1565,斜陽,35,太宰治,10,17644,93910,https://www.aozora.gr.jp/cards/000035/card1565.html
56648,人間椅子,1779,江戸川乱歩,11,17436,16099,https://www.aozora.gr.jp/cards/001779/card56648.html
1567,走れメロス,35,太宰治,12,17428,10265,https://www.aozora.gr.jp/cards/000035/card1567.html
799,夢十夜,148,夏目漱石,13,17111,19386,https://www.aozora.gr.jp/cards/000148/card799.html
424,檸檬,74,梶井基次郎,14,16809,5425,https://www.aozora.gr.jp/cards/000074/card424.html
1465,蟹工船,156,小林多喜二,15,16124,65488,https://www.aozora.gr.jp/cards/000156/card1465.html
794,三四郎,148,夏目漱石,16,15295,178798,https://www.aozora.gr.jp/cards/000148/card794.html
776,草枕,148,夏目漱石,17,14862,104957,https://www.aozora.gr.jp/cards/000148/card776.html
56650,Ｄ坂の殺人事件,1779,江戸川乱歩,18,14560,22788,https://www.aozora.gr.jp/cards/001779/card56650.html
49866,変身,1235,カフカフランツ,19,14031,56575,https://www.aozora.gr.jp/cards/001235/card49866.html
49866,変身,1396,原田義人,19,14031,56575,https://www.aozora.gr.jp/cards/001235/card49866.html
45630,〔雨ニモマケズ〕,81,宮沢賢治,20,13690,353,https://www.aozora.gr.jp/cards/000081/card45630.html
624,山月記,119,中島敦,21,13479,6955,https://www.aozora.gr.jp/cards/000119/card624.html
43737,銀河鉄道の夜,81,宮沢賢治,22,13366,53834,https://www.aozora.gr.jp/cards/000081/card43737.html
52409,三国志,1562,吉川英治,23,13048,1702,https://www.aozora.gr.jp/cards/001562/card52409.html
52410,三国志,1562,吉川英治,24,12852,169310,https://www.aozora.gr.jp/cards/001562/card52410.html
5016,源氏物語,52,紫式部,25,12844,17041,https://www.aozora.gr.jp/cards/000052/card5016.html
5016,源氏物語,885,与謝野晶子,25,12844,17041,https://www.aozora.gr.jp/cards/000052/card5016.html
52504,遠野物語,1566,柳田国男,26,12759,45955,https://www.aozora.gr.jp/cards/001566/card52504.html
2078,舞姫,129,森鴎外,27,12477,18261,https://www.aozora.gr.jp/cards/000129/card2078.html
47061,学問のすすめ,296,福沢諭吉,28,12446,92165,https://www.aozora.gr.jp/cards/000296/card47061.html
56669,少年探偵団,1779,江戸川乱歩,29,12267,103624,https://www.aozora.gr.jp/cards/001779/card56669.html
275,女生徒,35,太宰治,30,11333,31898,https://www.aozora.gr.jp/cards/000035/card275.html
42620,堕落論,1095,坂口安吾,31,11099,7853,https://www.aozora.gr.jp/cards/001095/card42620.html
56866,春琴抄,1383,谷崎潤一郎,32,11090,56744,https://www.aozora.gr.jp/cards/001383/card56866.html
42,鼻,879,芥川竜之介,33,11045,6546,https://www.aozora.gr.jp/cards/000879/card42.html
19,或阿呆の一生,879,芥川竜之介,34,10727,13488,https://www.aozora.gr.jp/cards/000879/card19.html
43754,注文の多い料理店,81,宮沢賢治,35,10679,5937,https://www.aozora.gr.jp/cards/000081/card43754.html
56645,押絵と旅する男,1779,江戸川乱歩,36,10447,18910,https://www.aozora.gr.jp/cards/001779/card56645.html
58093,痴人の愛,1383,谷崎潤一郎,37,10318,192120,https://www.aozora.gr.jp/cards/001383/card58093.html
935,少女地獄,96,夢野久作,38,10195,109760,https://www.aozora.gr.jp/cards/000096/card935.html
56646,心理試験,1779,江戸川乱歩,39,9905,23428,https://www.aozora.gr.jp/cards/001779/card56646.html
240,あさましきもの,35,太宰治,40,9709,1922,https://www.aozora.gr.jp/cards/000035/card240.html
56651,パノラマ島綺譚,1779,江戸川乱歩,41,9584,84942,https://www.aozora.gr.jp/cards/001779/card56651.html
50328,相対性理論,1428,アインシュタインアルベルト,42,9247,12888,https://www.aozora.gr.jp/cards/001428/card50328.html
50328,相対性理論,1429,石原純,42,9247,12888,https://www.aozora.gr.jp/cards/001428/card50328.html
2253,ヴィヨンの妻,35,太宰治,43,9226,20834,https://www.aozora.gr.jp/cards/000035/card2253.html
816,一握の砂,153,石川啄木,44,8990,20616,https://www.aozora.gr.jp/cards/000153/card816.html
42618,桜の森の満開の下,1095,坂口安吾,45,8523,17092,https://www.aozora.gr.jp/cards/001095/card42618.html
57788,樅ノ木は残った,1869,山本周五郎,46,8522,153613,https://www.aozora.gr.jp/cards/001869/card57788.html
56143,それから,148,夏目漱石,47,8367,193800,https://www.aozora.gr.jp/cards/000148/card56143.html
69,河童,879,芥川竜之介,48,8246,41224,https://www.aozora.gr.jp/cards/000879/card69.html
42286,カラマゾフの兄弟,363,ドストエフスキーフィヨードル・ミハイロヴィチ,49,8231,417402,https://www.aozora.gr.jp/cards/000363/card42286.html
42286,カラマゾフの兄弟,1061,中山省三郎,49,8231,417402,https://www.aozora.gr.jp/cards/000363/card42286.html
975,方丈記,196,鴨長明,50,8184,9394,https://www.aozora.gr.jp/cards/000196/card975.html
57574,青べか物語,1869,山本周五郎,51,8073,166217,https://www.aozora.gr.jp/cards/001869/card57574.html
52411,三国志,1562,吉川英治,52,8058,166458,https://www.aozora.gr.jp/cards/001562/card52411.html
50909,ファウスト,1025,ゲーテヨハン・ヴォルフガング・フォン,53,7982,279115,https://www.aozora.gr.jp/cards/001025/card50909.html
50909,ファウスト,129,森鴎外,53,7982,279115,https://www.aozora.gr.jp/cards/001025/card50909.html
60,地獄変,879,芥川竜之介,54,7915,28709,https://www.aozora.gr.jp/cards/000879/card60.html
522,金色夜叉,91,尾崎紅葉,55,7850,342452,https://www.aozora.gr.jp/cards/000091/card522.html
179,藪の中,879,芥川竜之介,56,7832,9851,https://www.aozora.gr.jp/cards/000879/card179.html
4803,風立ちぬ,1030,堀辰雄,57,7663,56841,https://www.aozora.gr.jp/cards/001030/card4803.html
56647,二銭銅貨,1779,江戸川乱歩,58,7552,18213,https://www.aozora.gr.jp/cards/001779/card56647.html
462,風の又三郎,81,宮沢賢治,59,7516,31325,https://www.aozora.gr.jp/cards/000081/card462.html
56698,細雪,1383,谷崎潤一郎,60,7179,163180,https://www.aozora.gr.jp/cards/001383/card56698.html
470,セロ弾きのゴーシュ,81,宮沢賢治,61,7163,12347,https://www.aozora.gr.jp/cards/000081/card470.html
258,グッド・バイ,35,太宰治,62,7125,15357,https://www.aozora.gr.jp/cards/000035/card258.html
1502,破戒,158,島崎藤村,63,7123,238777,https://www.aozora.gr.jp/cards/000158/card1502.html
14,あばばばば,879,芥川竜之介,64,7087,6907,https://www.aozora.gr.jp/cards/000879/card14.html
761,虞美人草,148,夏目漱石,65,7055,236858,https://www.aozora.gr.jp/cards/000148/card761.html
52412,三国志,1562,吉川英治,66,7035,164518,https://www.aozora.gr.jp/cards/001562/card52412.html
42934,阿Ｑ正伝,1125,井上紅梅,67,6817,38003,https://www.aozora.gr.jp/cards/001124/card42934.html
42934,阿Ｑ正伝,1124,魯迅,67,6817,38003,https://www.aozora.gr.jp/cards/001124/card42934.html
1869,浮雲,6,二葉亭四迷,68,6683,143329,https://www.aozora.gr.jp/cards/000006/card1869.html
45245,高瀬舟,129,森鴎外,69,6661,9457,https://www.aozora.gr.jp/cards/000129/card45245.html
1572,I can speak,35,太宰治,70,6587,1995,https://www.aozora.gr.jp/cards/000035/card1572.html
1927,注文の多い料理店,81,宮沢賢治,71,6580,5698,https://www.aozora.gr.jp/cards/000081/card1927.html
52414,三国志,1562,吉川英治,72,6560,177553,https://www.aozora.gr.jp/cards/001562/card52414.html
52413,三国志,1562,吉川英治,73,6499,172047,https://www.aozora.gr.jp/cards/001562/card52413.html
50131,アーサー王物語,1409,菅野徳助,74,6478,59686,https://www.aozora.gr.jp/cards/000140/card50131.html
50131,アーサー王物語,140,テニソンアルフレッド,74,6478,59686,https://www.aozora.gr.jp/cards/000140/card50131.html
50131,アーサー王物語,1410,奈倉次郎,74,6478,59686,https://www.aozora.gr.jp/cards/000140/card50131.html
236,ア、秋,35,太宰治,75,6455,1545,https://www.aozora.gr.jp/cards/000035/card236.html
52415,三国志,1562,吉川英治,76,6445,178500,https://www.aozora.gr.jp/cards/001562/card52415.html
46669,智恵子抄,1168,高村光太郎,77,6406,33296,https://www.aozora.gr.jp/cards/001168/card46669.html
605,モルグ街の殺人事件,95,佐々木直次郎,78,6405,36543,https://www.aozora.gr.jp/cards/000094/card605.html
605,モルグ街の殺人事件,94,ポーエドガー・アラン,78,6405,36543,https://www.aozora.gr.jp/cards/000094/card605.html
